ForeFlight Logbook Import,,,,,,,,,,,,,

Aircraft Table,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
TC-JRT,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRU,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRV,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRY,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JRZ,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSA,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSB,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSC,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSD,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSF,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSG,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSH,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSI,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSJ,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSK,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSL,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSM,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSO,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSP,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSR,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSS,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JST,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSU,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSV,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSY,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JSZ,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTA,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTD,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTE,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTF,,A321,,,A321,,,,,FALSE,FALSE,FALSE,
TC-JTG,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTH,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTI,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTJ,,A321,,,A321,,,,,FALSE,FALSE,FALSE,
TC-JTK,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTL,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTN,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTO,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JTP,,A321,,,A321,,,,,FALSE,FALSE,FALSE,
TC-JTR,,A321,,,A321,,,,,FALSE,FALSE,FALSE,
TC-JUA,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JUB,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JUD,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JUE,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JUF,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JUG,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JUI,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JUJ,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JUK,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JVN,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-YAR,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
UK-CA(625A),,G550,,Gulfstream,G550,,,,,FALSE,TRUE,FALSE,
UK-FB-284,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
UK-GE-193,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
UK-GE-240,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
UK-GE-322,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
UK-GE-547,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
UK173A/B,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
UR-BLA,,YAK52,,Yakovlev,YAK52,,,,,TRUE,TRUE,FALSE,
UR-BLH,,YAK52,,Yakovlev,YAK52,,,,,TRUE,TRUE,FALSE,
Wiz-320,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
XX-DRONE,,DRONE-X,,,DRONE-X,,,,,FALSE,FALSE,FALSE,
XX-REG,,ACFT-X,,,ACFT-X,,,,,FALSE,FALSE,FALSE,
XX-SIM,,SIM-X,,,SIM-X,,,,,FALSE,FALSE,FALSE,


Flights Table,,,,,,,,,,,,,,,,,
Date,AircraftID,From,To,Route,TimeOut,TimeOff,TimeOn,TimeIn,OnDuty,OffDuty,TotalTime,PIC,SIC,Night,Solo,CrossCountry,NVG
